Age;Workclass;Education;Marital Status;Occupation;Relationship;Race;Sex;Country;;
30;Private;11th;Never-married;Other-service;Own-child;White;Female;United-States;;
28;Private;Assoc-acdm;Never-married;Sales;Not-in-family;White;Female;United-States;;
24;Private;HS-grad;Never-married;Craft-repair;Own-child;White;Male;United-States;;
58;Self-emp-not-inc;10th;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
24;Private;HS-grad;Never-married;Handlers-cleaners;Unmarried;Black;Female;United-States;;
26;Private;Assoc-acdm;Never-married;Tech-support;Not-in-family;White;Male;United-States;;
24;Self-emp-not-inc;HS-grad;Never-married;Sales;Not-in-family;White;Male;United-States;;
38;Private;HS-grad;Married-civ-spouse;Sales;Husband;White;Male;United-States;;
32;Private;Some-college;Never-married;Adm-clerical;Own-child;Black;Female;United-States;;
41;Private;Prof-school;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
32;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;United-States;;
34;Private;HS-grad;Married-civ-spouse;Tech-support;Wife;White;Female;United-States;;
30;Private;HS-grad;Divorced;Prof-specialty;Own-child;White;Female;United-States;;
23;;HS-grad;Never-married;;Unmarried;Black;Female;United-States;;
35;Private;Assoc-voc;Married-civ-spouse;Other-service;Husband;White;Male;Puerto-Rico;;
49;Private;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Female;United-States;;
58;;HS-grad;Married-civ-spouse;;Husband;White;Male;United-States;;
22;Private;Some-college;Never-married;Adm-clerical;Own-child;White;Male;United-States;;
33;Private;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Female;United-States;;
31;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;United-States;;
55;Private;HS-grad;Married-civ-spouse;Sales;Husband;White;Male;United-States;;
58;Self-emp-not-inc;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
27;;Assoc-acdm;Married-civ-spouse;;Own-child;Amer-Indian-Eskimo;Male;United-States;;
48;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
53;Self-emp-inc;Doctorate;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
24;Private;HS-grad;Never-married;Other-service;Not-in-family;White;Female;United-States;;
29;Self-emp-not-inc;Bachelors;Separated;Prof-specialty;Own-child;White;Male;United-States;;
43;State-gov;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male;;;
43;Federal-gov;Doctorate;Never-married;Prof-specialty;Not-in-family;White;Female;United-States;;
20;Private;HS-grad;Never-married;Handlers-cleaners;Own-child;Amer-Indian-Eskimo;Male;United-States;;
43;Self-emp-not-inc;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
51;Self-emp-not-inc;9th;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
23;Private;HS-grad;Never-married;Transport-moving;Own-child;White;Male;United-States;;
67;Private;Bachelors;Widowed;Exec-managerial;Not-in-family;White;Male;United-States;;
18;Private;11th;Never-married;Other-service;Other-relative;White;Male;United-States;;
48;Private;Assoc-voc;Married-civ-spouse;Tech-support;Husband;White;Male;United-States;;
38;Private;Some-college;Married-civ-spouse;Transport-moving;Husband;White;Male;United-States;;
45;Private;Assoc-voc;Never-married;Prof-specialty;Not-in-family;White;Female;United-States;;
41;Private;Masters;Never-married;Exec-managerial;Not-in-family;White;Male;Dominican-Republic;;
51;Local-gov;Preschool;Married-civ-spouse;Other-service;Husband;White;Male;United-States;;
22;Private;Some-college;Never-married;Handlers-cleaners;Own-child;White;Male;United-States;;
26;Private;Bachelors;Never-married;Adm-clerical;Not-in-family;White;Male;United-States;;
66;Local-gov;Assoc-voc;Widowed;Prof-specialty;Not-in-family;White;Female;United-States;;
40;State-gov;Masters;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
58;Self-emp-not-inc;HS-grad;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;United-States;;
55;Local-gov;10th;Married-civ-spouse;Adm-clerical;Husband;White;Male;United-States;;
21;Private;Some-college;Never-married;Other-service;Not-in-family;Asian-Pac-Islander;Female;United-States;;
18;Private;HS-grad;Never-married;Sales;Not-in-family;White;Male;United-States;;
42;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
39;Federal-gov;Assoc-acdm;Never-married;Exec-managerial;Not-in-family;White;Male;United-States;;
46;Private;Prof-school;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
57;Private;Bachelors;Divorced;Exec-managerial;Not-in-family;White;Female;United-States;;
25;Private;Bachelors;Never-married;Sales;Not-in-family;White;Female;United-States;;
20;Private;Some-college;Never-married;Prof-specialty;Own-child;White;Male;United-States;;
35;Private;12th;Divorced;Craft-repair;Not-in-family;White;Male;United-States;;
30;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;United-States;;
19;Local-gov;Some-college;Never-married;Adm-clerical;Own-child;White;Male;United-States;;
36;Self-emp-not-inc;Bachelors;Divorced;Prof-specialty;Not-in-family;Black;Female;United-States;;
33;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
30;Private;11th;Never-married;Handlers-cleaners;Own-child;White;Male;United-States;;
24;Private;Some-college;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;United-States;;
19;Private;Some-college;Never-married;Prof-specialty;Own-child;White;Male;United-States;;
49;Private;Masters;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
28;Private;Some-college;Divorced;Machine-op-inspct;Unmarried;Black;Female;United-States;;
43;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
56;Self-emp-inc;Some-college;Married-civ-spouse;Sales;Husband;White;Male;United-States;;
43;Private;Some-college;Divorced;Prof-specialty;Not-in-family;White;Male;United-States;;
48;Self-emp-not-inc;Doctorate;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
19;Private;HS-grad;Never-married;Machine-op-inspct;Own-child;Black;Female;United-States;;
31;Private;HS-grad;Divorced;Adm-clerical;Unmarried;White;Female;United-States;;
50;Self-emp-inc;HS-grad;Married-civ-spouse;Sales;Husband;White;Male;United-States;;
45;Private;HS-grad;Married-civ-spouse;Sales;Husband;White;Male;United-States;;
35;Local-gov;Some-college;Married-civ-spouse;Protective-serv;Husband;White;Male;United-States;;
68;Self-emp-not-inc;11th;Never-married;Farming-fishing;Unmarried;White;Male;United-States;;
68;;1st-4th;Divorced;;Not-in-family;White;Female;United-States;;
44;Private;HS-grad;Widowed;Exec-managerial;Unmarried;Black;Female;United-States;;
40;Private;Assoc-acdm;Married-civ-spouse;Adm-clerical;Husband;White;Male;United-States;;
59;Local-gov;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;United-States;;
36;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
45;Local-gov;Bachelors;Divorced;Prof-specialty;Unmarried;White;Female;United-States;;
25;Private;Some-college;Never-married;Sales;Not-in-family;White;Female;United-States;;
24;Self-emp-not-inc;HS-grad;Never-married;Sales;Not-in-family;White;Male;United-States;;
48;Private;11th;Never-married;Machine-op-inspct;Unmarried;White;Male;Puerto-Rico;;
26;Private;Assoc-acdm;Never-married;Tech-support;Not-in-family;White;Male;United-States;;
36;Private;Bachelors;Divorced;Prof-specialty;Own-child;White;Female;United-States;;
53;Local-gov;Preschool;Never-married;Machine-op-inspct;Not-in-family;White;Female;United-States;;
51;Self-emp-not-inc;Bachelors;Married-civ-spouse;Sales;Husband;Asian-Pac-Islander;Male;China;;
38;Private;Some-college;Married-civ-spouse;Adm-clerical;Wife;Black;Female;United-States;;
25;;Assoc-acdm;Never-married;;Other-relative;White;Male;United-States;;
23;;Assoc-voc;Never-married;;Own-child;Black;Female;United-States;;
17;Private;12th;Never-married;Handlers-cleaners;Own-child;White;Male;United-States;;
23;Private;Bachelors;Never-married;Exec-managerial;Own-child;White;Male;United-States;;
32;;Some-college;Married-civ-spouse;;Husband;White;Male;United-States;;
41;Private;Prof-school;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
24;Private;Some-college;Married-civ-spouse;Adm-clerical;Wife;Asian-Pac-Islander;Female;Laos;;
37;Private;Some-college;Divorced;Machine-op-inspct;Not-in-family;White;Male;United-States;;
23;Private;HS-grad;Never-married;Transport-moving;Unmarried;White;Male;United-States;;
34;Local-gov;HS-grad;Never-married;Adm-clerical;Own-child;White;Female;United-States;;
35;Private;Some-college;Never-married;Exec-managerial;Not-in-family;White;Female;United-States;;
54;Private;HS-grad;Separated;Other-service;Unmarried;Black;Female;United-States;;
33;Private;Bachelors;Never-married;Craft-repair;Own-child;White;Male;United-States;;
25;Private;Bachelors;Never-married;Exec-managerial;Not-in-family;White;Female;United-States;;
47;Self-emp-not-inc;Masters;Never-married;Prof-specialty;Not-in-family;White;Female;United-States;;
46;State-gov;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
25;Private;Some-college;Never-married;Tech-support;Not-in-family;White;Male;United-States;;
42;Private;Bachelors;Married-civ-spouse;Tech-support;Husband;White;Male;United-States;;
18;Private;HS-grad;Never-married;Other-service;Own-child;White;Female;;;
56;Private;HS-grad;Married-civ-spouse;Adm-clerical;Husband;White;Male;;;
19;Private;Some-college;Never-married;Adm-clerical;Own-child;White;Male;United-States;;
17;Private;11th;Never-married;Other-service;Own-child;White;Male;United-States;;
22;Private;Some-college;Never-married;Other-service;Other-relative;Black;Male;United-States;;
51;Private;Bachelors;Never-married;Sales;Not-in-family;White;Male;United-States;;
51;Private;Some-college;Married-civ-spouse;Sales;Husband;White;Male;United-States;;
24;State-gov;Assoc-acdm;Married-civ-spouse;Protective-serv;Husband;White;Male;United-States;;
47;Self-emp-not-inc;Some-college;Never-married;Other-service;Unmarried;Black;Female;United-States;;
23;State-gov;Bachelors;Never-married;Tech-support;Not-in-family;White;Female;United-States;;
37;Private;Assoc-voc;Married-civ-spouse;Tech-support;Wife;White;Female;United-States;;
43;Self-emp-not-inc;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
35;Private;HS-grad;Divorced;Craft-repair;Not-in-family;White;Male;United-States;;
41;Self-emp-not-inc;Some-college;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
40;Federal-gov;Masters;Never-married;Exec-managerial;Not-in-family;White;Female;United-States;;
59;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
26;Private;Assoc-voc;Married-civ-spouse;Adm-clerical;Husband;White;Male;United-States;;
29;Self-emp-not-inc;Bachelors;Married-civ-spouse;Sales;Husband;White;Male;United-States;;
40;Private;7th-8th;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;Mexico;;
69;Private;11th;Never-married;Machine-op-inspct;Not-in-family;White;Female;United-States;;
36;Private;Bachelors;Separated;Prof-specialty;Not-in-family;White;Male;;;
37;Local-gov;Some-college;Married-civ-spouse;Tech-support;Husband;White;Male;United-States;;
18;Private;11th;Never-married;Sales;Own-child;White;Female;United-States;;
27;State-gov;Some-college;Married-civ-spouse;Transport-moving;Husband;White;Male;United-States;;
48;Private;11th;Never-married;Machine-op-inspct;Unmarried;White;Male;Puerto-Rico;;
44;Private;11th;Divorced;Machine-op-inspct;Unmarried;Other;Female;Puerto-Rico;;
41;Private;HS-grad;Never-married;Craft-repair;Own-child;Black;Female;United-States;;
23;Private;HS-grad;Married-civ-spouse;Adm-clerical;Wife;White;Female;Mexico;;
66;Private;HS-grad;Never-married;Transport-moving;Not-in-family;White;Male;United-States;;
43;Self-emp-not-inc;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
32;Private;HS-grad;Separated;Other-service;Not-in-family;White;Female;United-States;;
50;Self-emp-inc;Doctorate;Separated;Prof-specialty;Not-in-family;White;Male;United-States;;
32;Private;Assoc-acdm;Never-married;Sales;Not-in-family;Black;Male;United-States;;
21;Private;Some-college;Never-married;Other-service;Own-child;White;Female;United-States;;
19;;HS-grad;Never-married;;Own-child;White;Male;Italy;;
37;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
17;Private;9th;Never-married;Other-service;Not-in-family;White;Male;United-States;;
48;State-gov;Doctorate;Divorced;Prof-specialty;Own-child;White;Male;United-States;;
27;Private;HS-grad;Never-married;Transport-moving;Not-in-family;White;Male;United-States;;
90;Private;HS-grad;Never-married;Other-service;Not-in-family;Black;Male;United-States;;
55;Private;Some-college;Divorced;Adm-clerical;Not-in-family;Asian-Pac-Islander;Female;United-States;;
23;;Some-college;Never-married;;Unmarried;Amer-Indian-Eskimo;Female;United-States;;
52;Private;HS-grad;Divorced;Transport-moving;Unmarried;White;Male;United-States;;
36;Local-gov;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Male;United-States;;
36;State-gov;HS-grad;Married-civ-spouse;Protective-serv;Husband;White;Male;United-States;;
39;Private;Some-college;Married-civ-spouse;Farming-fishing;Husband;White;Male;United-States;;
22;Private;Some-college;Married-civ-spouse;Other-service;Husband;White;Male;United-States;;
45;Private;HS-grad;Divorced;Adm-clerical;Not-in-family;White;Female;United-States;;
31;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;United-States;;
36;Local-gov;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Male;United-States;;
41;Private;HS-grad;Married-spouse-absent;Craft-repair;Unmarried;White;Female;United-States;;
17;Private;11th;Never-married;Sales;Own-child;White;Male;United-States;;
61;Self-emp-not-inc;HS-grad;Married-civ-spouse;Farming-fishing;Husband;White;Male;United-States;;
48;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
22;Private;Bachelors;Never-married;Prof-specialty;Unmarried;White;Male;United-States;;
43;Private;HS-grad;Married-civ-spouse;Farming-fishing;Husband;White;Male;Mexico;;
43;Self-emp-not-inc;Bachelors;Never-married;Sales;Not-in-family;White;Male;United-States;;
41;Federal-gov;Bachelors;Married-civ-spouse;Tech-support;Husband;White;Male;United-States;;
36;;Assoc-voc;Widowed;;Not-in-family;White;Female;United-States;;
50;Private;7th-8th;Married-civ-spouse;Craft-repair;Husband;White;Male;Ecuador;;
53;Self-emp-not-inc;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
34;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
41;Self-emp-inc;Some-college;Married-civ-spouse;Farming-fishing;Husband;White;Male;United-States;;
46;Local-gov;11th;Married-civ-spouse;Transport-moving;Husband;White;Male;United-States;;
49;Private;HS-grad;Separated;Adm-clerical;Unmarried;White;Female;United-States;;
22;Private;Some-college;Never-married;Sales;Not-in-family;White;Female;United-States;;
44;Private;Masters;Divorced;Exec-managerial;Unmarried;White;Female;United-States;;
53;Private;HS-grad;Divorced;Sales;Own-child;White;Female;United-States;;
34;Private;HS-grad;Never-married;Handlers-cleaners;Not-in-family;Black;Male;United-States;;
31;Local-gov;7th-8th;Married-civ-spouse;Farming-fishing;Husband;White;Male;United-States;;
58;State-gov;Doctorate;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
66;;7th-8th;Never-married;;Not-in-family;White;Male;United-States;;
47;Self-emp-not-inc;Masters;Never-married;Prof-specialty;Not-in-family;White;Female;United-States;;
35;Private;HS-grad;Divorced;Transport-moving;Not-in-family;White;Male;United-States;;
50;Self-emp-not-inc;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
26;Private;Assoc-acdm;Never-married;Sales;Not-in-family;White;Male;United-States;;
45;;Some-college;Married-civ-spouse;;Wife;Black;Female;United-States;;
41;Private;HS-grad;Never-married;Craft-repair;Own-child;Black;Female;United-States;;
33;Local-gov;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Female;United-States;;
54;Private;Some-college;Never-married;Tech-support;Not-in-family;White;Male;United-States;;
75;Private;Assoc-voc;Widowed;Adm-clerical;Not-in-family;White;Female;Columbia;;
47;Private;Bachelors;Married-civ-spouse;Exec-managerial;Wife;White;Female;United-States;;
40;Private;Bachelors;Never-married;Sales;Not-in-family;Other;Female;United-States;;
74;Private;Some-college;Divorced;Adm-clerical;Not-in-family;White;Female;United-States;;
46;Private;Prof-school;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
41;Private;HS-grad;Never-married;Craft-repair;Own-child;Black;Female;United-States;;
45;Private;Assoc-voc;Widowed;Exec-managerial;Not-in-family;White;Female;United-States;;
61;Self-emp-not-inc;HS-grad;Married-civ-spouse;Farming-fishing;Husband;White;Male;United-States;;
47;Local-gov;Some-college;Divorced;Adm-clerical;Unmarried;White;Female;Mexico;;
74;Private;Some-college;Divorced;Adm-clerical;Not-in-family;White;Female;United-States;;
43;Private;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Male;;;
35;Private;Assoc-acdm;Married-civ-spouse;Adm-clerical;Husband;White;Male;United-States;;
43;Private;Some-college;Divorced;Prof-specialty;Not-in-family;White;Male;United-States;;
31;Private;9th;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;United-States;;
28;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
21;Private;HS-grad;Never-married;Craft-repair;Own-child;Black;Male;United-States;;
36;Private;Bachelors;Separated;Prof-specialty;Not-in-family;White;Male;;;
63;Self-emp-not-inc;HS-grad;Married-civ-spouse;Farming-fishing;Husband;White;Male;United-States;;
21;Private;Some-college;Never-married;Machine-op-inspct;Own-child;White;Male;United-States;;
17;Private;11th;Never-married;Other-service;Own-child;White;Male;United-States;;
59;Private;HS-grad;Married-civ-spouse;Sales;Husband;White;Male;United-States;;
56;Private;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
44;Local-gov;HS-grad;Married-civ-spouse;Transport-moving;Husband;Black;Male;United-States;;
24;Private;Some-college;Married-civ-spouse;Adm-clerical;Wife;Asian-Pac-Islander;Female;Laos;;
39;;Masters;Married-civ-spouse;;Wife;Asian-Pac-Islander;Female;;;
30;;Assoc-voc;Divorced;;Unmarried;White;Female;United-States;;
31;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;United-States;;
29;Self-emp-not-inc;Bachelors;Married-civ-spouse;Sales;Husband;White;Male;United-States;;
52;Private;1st-4th;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;Mexico;;
46;Self-emp-not-inc;Assoc-acdm;Separated;Craft-repair;Not-in-family;White;Male;United-States;;
49;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
55;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
55;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;United-States;;
28;Private;HS-grad;Divorced;Craft-repair;Not-in-family;White;Male;United-States;;
42;Private;Assoc-acdm;Divorced;Prof-specialty;Unmarried;White;Female;United-States;;
26;Private;Bachelors;Never-married;Sales;Not-in-family;White;Male;United-States;;
29;Self-emp-not-inc;Bachelors;Separated;Prof-specialty;Own-child;White;Male;United-States;;
42;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
39;Local-gov;12th;Married-civ-spouse;Tech-support;Husband;White;Male;United-States;;
39;;Masters;Married-civ-spouse;;Wife;Asian-Pac-Islander;Female;;;
22;Private;Some-college;Never-married;Handlers-cleaners;Own-child;White;Male;United-States;;
26;Federal-gov;Some-college;Never-married;Adm-clerical;Unmarried;White;Female;United-States;;
44;Private;7th-8th;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
57;Private;HS-grad;Married-civ-spouse;Sales;Husband;White;Male;United-States;;
35;Private;HS-grad;Never-married;Exec-managerial;Not-in-family;White;Male;United-States;;
48;State-gov;Doctorate;Divorced;Prof-specialty;Own-child;White;Male;United-States;;
57;;Assoc-voc;Widowed;;Unmarried;White;Female;United-States;;
18;State-gov;11th;Never-married;Adm-clerical;Own-child;White;Female;United-States;;
63;;1st-4th;Married-civ-spouse;;Husband;White;Male;United-States;;
17;Private;9th;Never-married;Other-service;Own-child;White;Male;United-States;;
23;Private;Some-college;Never-married;Other-service;Not-in-family;White;Female;United-States;;
32;Private;HS-grad;Never-married;Other-service;Not-in-family;White;Female;United-States;;
46;Private;HS-grad;Divorced;Machine-op-inspct;Not-in-family;White;Female;United-States;;
63;Self-emp-inc;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
48;Private;Bachelors;Married-civ-spouse;Adm-clerical;Husband;White;Male;United-States;;
46;Private;5th-6th;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;Mexico;;
47;Self-emp-inc;HS-grad;Divorced;Exec-managerial;Not-in-family;White;Male;United-States;;
23;Private;HS-grad;Never-married;Handlers-cleaners;Not-in-family;White;Male;Dominican-Republic;;
19;;Some-college;Never-married;;Own-child;White;Male;Canada;;
59;Local-gov;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;United-States;;
59;;Bachelors;Married-civ-spouse;;Husband;White;Male;United-States;;
35;Private;12th;Divorced;Craft-repair;Not-in-family;White;Male;United-States;;
80;;HS-grad;Widowed;;Not-in-family;White;Male;United-States;;
31;Local-gov;7th-8th;Married-civ-spouse;Farming-fishing;Husband;White;Male;United-States;;
33;Private;Some-college;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
52;Private;1st-4th;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;Mexico;;
59;Local-gov;HS-grad;Married-civ-spouse;Adm-clerical;Wife;White;Female;United-States;;
67;Self-emp-inc;HS-grad;Married-civ-spouse;Exec-managerial;Husband;Asian-Pac-Islander;Male;United-States;;
32;Private;HS-grad;Divorced;Machine-op-inspct;Not-in-family;White;Female;United-States;;
36;Private;Some-college;Divorced;Craft-repair;Not-in-family;White;Male;United-States;;
22;Private;Some-college;Never-married;Adm-clerical;Own-child;White;Male;United-States;;
46;Private;Assoc-acdm;Never-married;Prof-specialty;Not-in-family;White;Female;United-States;;
26;Self-emp-not-inc;9th;Married-civ-spouse;Craft-repair;Husband;White;Male;Portugal;;
18;Private;HS-grad;Never-married;Other-service;Own-child;White;Male;United-States;;
25;Private;HS-grad;Never-married;Handlers-cleaners;Not-in-family;White;Male;United-States;;
21;Private;Some-college;Never-married;Sales;Own-child;White;Male;United-States;;
43;Federal-gov;Doctorate;Never-married;Prof-specialty;Not-in-family;White;Female;United-States;;
31;Local-gov;HS-grad;Never-married;Adm-clerical;Not-in-family;White;Female;United-States;;
39;Private;HS-grad;Never-married;Handlers-cleaners;Own-child;White;Male;United-States;;
22;Private;Some-college;Never-married;Sales;Own-child;White;Male;United-States;;
42;Local-gov;Some-college;Never-married;Prof-specialty;Not-in-family;White;Female;United-States;;
36;Private;Bachelors;Separated;Prof-specialty;Not-in-family;White;Male;;;
48;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;Asian-Pac-Islander;Male;India;;
35;Private;Assoc-acdm;Never-married;Exec-managerial;Not-in-family;White;Female;United-States;;
22;Private;Bachelors;Never-married;Exec-managerial;Own-child;White;Female;United-States;;
40;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;United-States;;
48;Self-emp-not-inc;Doctorate;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
38;Private;11th;Married-civ-spouse;Sales;Husband;White;Male;United-States;;
48;Self-emp-not-inc;Assoc-acdm;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
43;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;England;;
38;Self-emp-not-inc;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
29;Private;HS-grad;Divorced;Farming-fishing;Not-in-family;White;Male;United-States;;
54;;Some-college;Married-civ-spouse;;Husband;Asian-Pac-Islander;Male;South;;
53;Self-emp-not-inc;10th;Married-civ-spouse;Farming-fishing;Husband;White;Male;United-States;;
35;;HS-grad;Married-civ-spouse;;Husband;White;Male;United-States;;
34;Private;Masters;Married-civ-spouse;Prof-specialty;Husband;White;Male;;;
29;Self-emp-not-inc;HS-grad;Separated;Craft-repair;Not-in-family;White;Male;United-States;;
23;Private;HS-grad;Never-married;Sales;Own-child;Black;Male;United-States;;
47;Private;HS-grad;Divorced;Adm-clerical;Unmarried;White;Female;United-States;;
26;Private;Assoc-voc;Divorced;Adm-clerical;Not-in-family;White;Female;United-States;;
52;Self-emp-not-inc;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
18;Private;HS-grad;Never-married;Sales;Own-child;White;Female;United-States;;
22;Private;Some-college;Never-married;Sales;Own-child;White;Male;United-States;;
57;Private;HS-grad;Married-civ-spouse;Sales;Husband;White;Male;United-States;;
28;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
51;Private;Bachelors;Never-married;Sales;Not-in-family;White;Male;United-States;;
26;Private;Some-college;Never-married;Handlers-cleaners;Own-child;White;Male;United-States;;
29;Private;Some-college;Divorced;Tech-support;Not-in-family;White;Male;United-States;;
59;Private;HS-grad;Married-civ-spouse;Other-service;Husband;White;Male;United-States;;
44;Private;Some-college;Married-civ-spouse;Adm-clerical;Wife;White;Female;United-States;;
36;Self-emp-not-inc;Assoc-acdm;Divorced;Sales;Unmarried;White;Female;United-States;;
31;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male;Canada;;
36;Self-emp-inc;Bachelors;Married-civ-spouse;Exec-managerial;Wife;White;Female;United-States;;
30;State-gov;Bachelors;Married-civ-spouse;Tech-support;Husband;White;Male;United-States;;
29;Private;11th;Never-married;Craft-repair;Own-child;Black;Male;Haiti;;
29;Private;Assoc-voc;Divorced;Tech-support;Not-in-family;White;Female;United-States;;
31;Private;HS-grad;Never-married;Craft-repair;Own-child;White;Male;United-States;;
29;Private;HS-grad;Separated;Machine-op-inspct;Not-in-family;White;Male;United-States;;
18;Private;12th;Never-married;Machine-op-inspct;Own-child;White;Male;United-States;;
28;Private;Some-college;Never-married;Craft-repair;Unmarried;White;Male;United-States;;
56;Self-emp-not-inc;HS-grad;Married-civ-spouse;Other-service;Husband;White;Male;Canada;;
20;Private;Some-college;Never-married;Prof-specialty;Own-child;White;Male;United-States;;
24;Private;HS-grad;Never-married;Exec-managerial;Other-relative;White;Male;United-States;;
47;Self-emp-not-inc;HS-grad;Married-civ-spouse;Other-service;Wife;White;Female;Italy;;
63;;1st-4th;Married-civ-spouse;;Husband;White;Male;United-States;;
38;Federal-gov;Masters;Married-civ-spouse;Prof-specialty;Husband;White;Male;Iran;;
74;Private;Some-college;Divorced;Adm-clerical;Not-in-family;White;Female;United-States;;
36;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;United-States;;
39;Private;Some-college;Divorced;Craft-repair;Not-in-family;White;Male;United-States;;
35;Private;Doctorate;Married-civ-spouse;Prof-specialty;Husband;Asian-Pac-Islander;Male;Taiwan;;
35;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;United-States;;
30;Private;Some-college;Never-married;Handlers-cleaners;Unmarried;White;Female;United-States;;
26;Self-emp-not-inc;9th;Married-civ-spouse;Craft-repair;Husband;White;Male;Portugal;;
34;Private;Some-college;Never-married;Craft-repair;Not-in-family;White;Male;United-States;;
19;Private;HS-grad;Never-married;Adm-clerical;Not-in-family;White;Female;United-States;;
33;Private;Masters;Married-civ-spouse;Prof-specialty;Husband;White;Male;United-States;;
31;Local-gov;7th-8th;Married-civ-spouse;Farming-fishing;Husband;White;Male;United-States;;
20;Private;Some-college;Never-married;Sales;Own-child;Black;Male;United-States;;
41;Private;Some-college;Never-married;Craft-repair;Not-in-family;Black;Male;United-States;;
18;Private;HS-grad;Never-married;Other-service;Own-child;White;Female;;;
